season,team1,team2,date,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,match_type
2024,CA,USA,6/1/2024,1,Grand Prairie Stadium,Dallas,USA,field,Aaron Jones,RK Illingworth,Sharfuddoula,L Rusere,RB Richardson,USA,,7,Group
2024,PNG,WI,6/2/2024,2,Providence Stadium,Providence,WI,field,RL Chase,AT Holdstock,Rashid Riaz,HDPK Dharmasena,AJ Pycroft,WI ,,5,Group
2024,Oman,Namibia,6/2/2024,3,Kensington Oval,Bridgetown,Namibia,field,D Wiese,J Madanagopal,JS Wilson,Asif Yaqoob,RS Madugalle,,,,Group
2024,SL,SA,6/3/2024,4,Nassau County International Cricket Stadium,New York,SL,bat,A Nortje,CM Brown,RA Kettleborough,AG Wharf,JJ Crowe,SA,,6,Group
2024,AFG,Uganda,6/3/2024,5,Providence Stadium,Providence,Uganda,field,Fazalhaq Farooqi,Ahsan Raza,HDPK Dharmasena,Rashid Riaz,AJ Pycroft,AFG,125,,Group
2024,SCL,ENG,6/4/2024,6,Kensington Oval,Bridgetown,SCL,bat,,Asif Yaqoob,Nitin Menon,J Madanagopal,RS Madugalle,No Result,,,Group
2024,Nepal,NED,6/4/2024,7,Grand Prairie Stadium,Dallas,NED,field,TJG Pringle,L Rusere,RJ Tucker,RK Illingworth,RB Richardson,NED,,6,Group
2024,IL,IND ,6/5/2024,8,Nassau County International Cricket Stadium,New York,IND ,field,JJ Bumrah,AG Wharf,CB Gaffaney,CM Brown,DC Boon,IND ,,8,Group
2024,PNG,Uganda,6/5/2024,9,Providence Stadium,Providence,Uganda,field,Riazat Ali Shah,AT Holdstock,Rashid Riaz,HDPK Dharmasena,J Srinath,Uganda,,3,Group
2024,AUS,Oman,6/5/2024,10,Kensington Oval,Bridgetown,Oman,field,MP Stoinis,Asif Yaqoob,JS Wilson,Nitin Menon,RS Madugalle,AUS ,39,,Group
2024,PNG,USA,6/6/2024,11,Grand Prairie Stadium,Dallas,USA,field,MD Patel,A Paleker,MA Gough,RJ Tucker,JJ Crowe,,,,Group
2024,Namibia,SCL,6/6/2024,12,Kensington Oval,Bridgetown,Namibia,bat,MA Leask,J Madanagopal,Nitin Menon,JS Wilson,AJ Pycroft,SCL,,5,Group
2024,CA,IL,6/7/2024,13,Nassau County International Cricket Stadium,New York,IL,field,NR Kirton,RA Kettleborough,SJ Nogajski,CB Gaffaney,RB Richardson,CA ,12,,Group
2024,AFG,NZ,6/7/2024,14,Providence Stadium,Providence,NZ,field,Rahmanullah Gurbaz,Ahsan Raza,HDPK Dharmasena,AT Holdstock,J Srinath,AFG,84,,Group
2024,SL,BAN,6/7/2024,15,Grand Prairie Stadium,Dallas,BAN,field,Rishad Hossain,MA Gough,PR Reiffel,RJ Tucker,JJ Crowe,BAN,,2,Group
2024,NED,SA,6/8/2024,16,Nassau County International Cricket Stadium,New York,SA,field,DA Miller,CB Gaffaney,Sharfuddoula,SJ Nogajski,DC Boon,SA,,4,Group
2024,AUS,ENG,6/8/2024,17,Kensington Oval,Bridgetown,ENG,field,A Zampa,JS Wilson,Nitin Menon,J Madanagopal,AJ Pycroft,AUS ,36,,Group
2024,WI,Uganda,6/8/2024,18,Providence Stadium,Providence,WI,bat,AJ Hosein,HDPK Dharmasena,Rashid Riaz,Ahsan Raza,J Srinath,WI,134,,Group
